
SatTrack V4.18.1.0 Shadow Analysis


Input file:

  Shadow.NUSTAR


Object:

  Object Name       : NUSTAR
  Object Number     : 99105
  Element Set Number: 999
  Reference Orbit   : 48254
  Element Set Epoch : 25-Apr-2021  2021/115  04:05:07.406 UTC
  Element Set Age   : 0.000 d
  Launch Date/Time  : 13-Jun-2012  2012/165  16:00:37.000 UTC
  Central Body      : Earth
  Orbit Geometry    : 616.630 km x 600.986 km at 6.030 deg
  Avrg Nodal Period : 96.481 min
  Propagation Model : SGP4


Shadow Statistics:

  Begin of Analysis Interval  : 25-Apr-2021  2021/115  04:05:10 UTC
  End of Analysis Interval    : 25-May-2021  2021/145  04:05:07 UTC
  Total Time Interval         : 30.000 d
  Time Resolution             : 10.000 s
  Shadow Entry/Exit Condition : 100.0 % of Full Sunlight
  Number of Shadow Periods    : 448
  Shortest Gap Between Shadows: 61.500 min
  Longest Gap Between Shadows : 62.333 min


  Shortest Penumbra   Longest Penumbra   Average Penumbra   Total Penumbra   Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

           0.0                0.2                0.1               63.8                  0.1


    Shortest Umbra      Longest Umbra      Average Umbra      Total Umbra    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

          11.2               35.0               34.5            15475.8                 35.8


   Shortest Shadow     Longest Shadow     Average Shadow     Total Shadow    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

          11.3               35.2               34.7            15539.7                 36.0


Shadow Periods:

     Shadow Begin    -       Shadow End          Entry Penumbra   Exit Penumbra   Total Penumbra     Total Umbra     Total Shadow      Depth

  2021/124 02:13:00  -  2021/124 02:47:20  UTC        0.0 min         0.0 min          0.0 min          34.3 min         34.3 min      100.0 %
  2021/124 03:49:30  -  2021/124 04:24:00  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 05:26:10  -  2021/124 06:00:40  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 07:02:50  -  2021/124 07:37:20  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 08:39:30  -  2021/124 09:14:00  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 10:16:10  -  2021/124 10:50:30  UTC        0.0 min         0.0 min          0.0 min          34.3 min         34.3 min      100.0 %
  2021/124 11:52:40  -  2021/124 12:27:10  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 13:29:20  -  2021/124 14:03:50  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 15:06:00  -  2021/124 15:40:30  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 16:42:40  -  2021/124 17:17:10  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 18:19:20  -  2021/124 18:53:40  UTC        0.0 min         0.0 min          0.0 min          34.3 min         34.3 min      100.0 %
  2021/124 19:55:50  -  2021/124 20:30:20  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 21:32:30  -  2021/124 22:07:00  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/124 23:09:10  -  2021/124 23:43:40  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/125 00:45:50  -  2021/125 01:20:20  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/125 02:22:30  -  2021/125 02:56:50  UTC        0.0 min         0.0 min          0.0 min          34.3 min         34.3 min      100.0 %
  2021/125 03:59:00  -  2021/125 04:33:30  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/125 05:35:40  -  2021/125 06:10:10  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/125 07:12:20  -  2021/125 07:46:50  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
